Num_Acc,an,mois,jour,hrmn,lum,int,atm,col,lat,long,catr,circ,nbv,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,unscathed,killed,hospital,light,chance
200600044778,6,7,15,1200,1,1,1,1,4781900,-294600,3,2,2,0,2,1,0,60,1,0,1,0,2,0,0,1,1
200600044780,6,7,9,545,2,1,1,7,4926600,-65900,2,3,2,0,2,2,20,70,1,0,3,0,2,0,1,0,1
200600044783,6,7,30,2330,3,1,1,3,4718800,-141700,2,3,4,0,0,1,76,0,1,0,1,0,3,0,1,2,1
200600044789,6,7,11,545,2,1,1,2,4267100,297300,3,2,2,0,1,1,0,60,1,0,1,0,0,1,1,0,1
200600044839,6,8,30,730,1,1,7,1,5051400,290400,3,2,2,0,1,1,0,60,1,0,1,0,1,0,1,0,1
200600044840,6,8,6,1950,1,1,1,4,5057900,290100,3,2,2,0,1,3,0,63,1,0,1,0,0,2,1,4,1
200600044843,6,8,8,750,1,1,7,3,5088800,249300,3,2,2,1,1,1,60,0,1,0,1,0,1,0,1,1,1
200600044848,6,8,19,445,5,1,1,6,5057200,322300,3,2,2,0,1,3,15,83,1,0,1,0,1,0,3,0,1
200600044850,6,8,15,1730,1,1,1,7,5029000,331000,4,2,2,0,1,3,0,0,1,0,1,0,0,0,2,0,1
200600044851,6,8,25,1400,1,1,1,6,5029000,327000,4,2,2,0,2,1,0,60,1,0,4,0,0,0,1,0,1
200600044854,6,8,4,2215,5,2,1,1,5029100,319700,4,2,0,0,1,1,0,60,1,0,1,0,1,0,1,0,1
200600044858,6,8,29,1907,1,1,2,1,5008000,321000,3,2,2,0,2,3,0,66,2,0,1,0,1,0,2,0,1
200600044859,6,8,26,1815,1,1,1,6,5027000,321000,3,2,2,0,1,1,0,0,2,0,4,0,0,0,1,0,1
200600044860,6,8,29,1415,1,1,1,1,5024500,266000,2,2,0,0,0,1,0,98,1,0,1,0,1,0,1,0,1
200600044861,6,8,14,1945,1,1,3,7,5032000,284000,2,3,2,0,1,3,0,72,2,0,3,0,0,0,1,0,1
200600044862,6,8,23,1215,1,1,1,6,5024600,306600,4,2,0,0,1,1,0,32,1,0,1,0,0,1,0,0,1
200600044863,6,8,22,1515,1,1,1,3,5057300,245700,2,2,3,3,1,1,0,115,1,5,1,0,0,0,2,1,1
200600044868,6,8,27,2000,1,7,1,6,5067200,183600,4,1,1,0,1,2,0,30,1,0,4,0,0,0,1,0,1
200600044870,6,8,6,1645,1,1,1,7,5051000,179700,3,2,2,0,1,1,0,56,1,0,3,0,2,0,2,0,1
200600044872,6,8,15,330,4,1,1,7,5033500,187300,3,2,2,0,1,0,0,0,1,0,1,0,0,0,1,0,1
200600044873,6,8,21,1530,1,1,1,3,5052600,217600,3,2,0,0,1,3,0,42,1,0,1,0,0,0,0,5,1
200600044875,6,8,8,700,1,1,1,5,5071200,233300,3,2,0,0,0,1,70,0,1,0,1,0,2,0,1,0,1
200600044878,6,8,24,1230,1,2,2,3,5075000,213000,3,2,2,0,1,1,0,54,2,0,1,0,1,0,1,0,1
200600044879,6,8,25,2200,4,1,1,6,5035700,226000,3,2,2,0,1,1,61,0,1,0,3,0,0,0,1,0,1
200600044880,6,8,31,1800,1,1,1,6,5038600,233600,2,2,2,0,1,1,0,71,1,0,1,0,1,1,0,0,1
200600044881,6,8,4,1715,1,1,1,6,5037200,260400,3,2,2,0,0,1,0,74,1,0,0,0,0,1,0,0,1
200600044882,6,8,10,2045,2,1,2,3,5038800,263000,3,2,2,0,3,3,0,0,2,0,1,0,1,0,1,1,1
200600044883,6,8,13,500,3,1,3,6,5027900,253800,3,2,2,0,0,3,0,74,2,0,3,0,0,1,0,0,1
200600044885,6,8,29,430,3,1,8,6,5020300,252200,2,2,0,0,2,1,0,74,8,0,3,0,0,1,0,0,1
200600044894,6,8,20,600,2,1,2,6,5009000,239000,3,2,2,0,1,1,0,70,2,0,4,0,0,1,1,2,1
200600044895,6,8,19,1800,1,9,2,4,4971700,279000,3,2,0,0,0,1,0,71,2,0,0,0,3,0,1,4,1
200600044898,6,8,25,645,1,1,1,7,4981700,249700,9,3,2,0,2,2,0,0,1,0,1,0,0,0,1,0,1
200600044903,6,8,22,1500,1,1,2,6,5001000,264900,3,2,2,0,1,1,0,80,2,0,1,0,1,0,1,0,1
200600044904,6,8,19,330,3,1,1,6,4973400,391100,3,2,2,0,1,0,0,60,1,0,1,0,0,0,1,0,1
200600044905,6,8,21,900,1,2,1,3,4960200,352100,2,2,2,0,1,1,0,63,1,5,1,0,1,0,0,2,1
200600044907,6,8,25,1800,1,1,1,2,4968800,358900,3,2,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
200600044914,6,8,17,1030,1,1,1,6,4898800,339500,3,2,2,0,0,2,0,0,1,0,1,0,0,0,1,0,1
200600044916,6,8,5,1800,1,1,1,2,4993200,337300,3,2,2,0,1,1,0,63,1,0,1,0,2,0,1,0,1
200600044922,6,8,12,1145,1,1,1,6,4925000,303700,2,3,0,0,2,2,36,47,1,0,1,0,0,0,1,0,1
200600044925,6,8,14,15,3,1,2,6,4993500,403200,3,2,2,0,1,1,0,49,2,0,1,0,0,0,3,0,1
200600044926,6,8,5,500,3,1,1,7,4942800,226100,3,2,2,0,1,3,0,50,1,0,3,0,0,0,1,2,1
200600044927,6,8,5,1630,1,1,1,2,4944200,187200,4,2,2,0,1,2,0,54,1,0,1,0,1,0,3,0,1
200600044946,6,8,26,1530,1,1,8,1,4957100,306100,3,2,2,0,1,4,0,60,2,0,1,0,0,0,1,2,1
200600044947,6,8,4,1230,1,1,2,6,4941200,615600,2,0,2,0,2,3,0,77,2,0,4,0,0,0,1,0,1
200600044954,6,8,16,1930,1,1,1,1,4924500,302400,2,3,2,0,2,1,0,0,2,0,1,0,1,1,0,0,1
200600044958,6,8,19,1800,1,6,1,3,4955000,104000,2,2,0,0,1,1,0,117,1,5,1,0,2,0,1,0,1
200600044960,6,8,19,1300,1,1,1,7,4982000,105700,3,2,2,0,1,1,0,50,1,0,1,0,0,0,2,0,1
200600044961,6,8,20,2000,1,1,1,7,4976900,115100,3,2,2,0,1,1,0,50,1,0,1,0,0,0,1,0,1
200600044962,6,8,2,1245,1,2,1,3,4969700,95700,3,2,2,0,0,1,0,60,1,0,1,0,2,0,1,0,1
200600044963,6,8,9,1445,1,1,2,3,4967800,114800,2,2,2,0,2,1,77,0,2,0,1,0,2,0,1,1,1
200600044964,6,8,1,300,5,1,2,5,4940000,115000,2,2,2,0,1,1,22,96,2,0,1,0,2,0,1,0,1
200600044973,6,8,3,1845,1,1,1,1,4955700,40200,9,2,1,0,2,1,0,26,1,0,1,0,2,0,1,0,1
200600044974,6,8,31,2045,5,2,1,3,4956900,22900,3,2,2,0,2,1,0,76,1,5,1,0,1,0,0,3,1
200600044977,6,8,18,1915,1,3,1,3,4974400,162000,4,2,2,0,1,0,0,35,1,0,1,0,1,0,1,0,1
200600044978,6,8,22,1545,1,1,1,4,4946600,154600,2,2,2,0,3,1,0,82,1,0,1,0,1,0,2,0,1
200600044980,6,8,2,1900,1,3,1,3,4985200,62500,3,2,2,0,1,1,0,56,1,0,1,0,1,0,1,0,1
200600044981,6,8,14,2130,3,2,1,1,4986200,84000,3,2,2,0,1,1,0,31,1,0,1,0,1,0,1,0,1
200600044982,6,8,29,945,1,9,1,3,4979100,64300,3,2,2,0,2,1,0,50,1,0,1,0,1,0,1,0,1
200600044984,6,8,26,1245,1,1,8,1,4971600,36100,3,2,0,0,1,2,0,55,2,0,1,0,1,0,2,0,1
200600044986,6,8,15,1045,1,1,1,1,4907600,122300,3,2,2,0,1,1,30,61,1,5,1,0,1,0,1,0,1
