Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,lat,long,dep,catr,circ,nbv,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,killed
200600072317,6,11,17,2030,3,1,1,2,7,122,5011700,480000,80,3,1,1,0,0,3,0,50,2,0,3,0,0
200600072318,6,11,15,1045,1,2,1,1,1,142,4969600,487500,80,3,2,2,0,1,1,0,0,1,5,1,0,0
200600072325,6,11,14,1815,3,2,1,1,3,345,4840900,451300,100,3,2,2,0,1,1,0,45,1,0,1,0,0
200600072328,6,11,28,1145,1,1,1,1,3,399,4819200,419200,100,2,2,2,3,1,1,0,74,1,5,1,0,0
200600072330,6,11,3,1010,1,1,1,8,3,220,4850000,380000,100,3,2,3,0,0,1,0,134,1,0,1,0,1
200600072332,6,11,5,430,3,1,1,1,7,518,4800600,525900,520,2,2,2,0,1,2,0,70,1,0,1,0,0
200600072336,6,11,11,2130,3,1,9,9,1,60,4794500,578200,520,3,2,2,0,1,1,0,70,2,5,1,0,0
200600072337,6,11,25,1800,5,2,3,3,3,60,4795900,575800,520,3,2,2,0,1,1,0,68,2,5,1,0,0
200600072338,6,11,6,1000,1,2,3,5,3,197,4778900,559600,520,2,2,2,0,0,1,0,71,1,0,1,0,0
200600072340,6,11,2,1830,5,2,1,1,6,38,4719400,539600,210,3,2,0,0,1,1,60,0,1,0,3,0,0
200600072341,6,11,6,1445,1,2,1,1,1,38,4720000,540500,210,3,2,2,0,1,3,0,0,1,0,1,0,0
200600072342,6,11,26,1815,2,2,1,1,7,585,4721900,508800,210,3,2,0,0,0,3,0,0,1,0,1,3,0
200600072344,6,11,10,1415,1,1,1,1,3,196,4693900,475400,210,3,2,3,3,0,1,0,164,1,5,1,0,0
200600072346,6,11,30,2215,3,1,1,1,6,62,4729500,452000,210,3,2,2,0,1,1,0,0,1,0,1,0,0
200600072347,6,11,19,1730,3,1,1,2,7,645,4716700,527300,210,4,0,0,0,1,2,0,0,2,0,1,0,0
200600072349,6,11,4,1915,3,1,1,1,6,685,4768900,452400,210,3,3,1,0,1,2,0,0,1,0,1,0,0
200600072350,6,11,9,1100,1,1,1,1,3,394,4751600,440800,210,3,2,2,0,2,1,0,0,2,5,1,0,0
200600072354,6,11,3,1500,1,1,1,1,1,51,4692200,316300,580,3,2,2,0,2,1,0,76,1,0,1,0,1
200600072355,6,11,6,1630,1,1,1,1,7,304,4737100,341300,580,2,2,2,0,1,1,0,70,1,0,1,0,0
200600072357,6,11,27,1730,5,2,1,1,1,163,4737200,328400,580,3,2,2,0,2,1,0,60,1,0,1,0,0
200600072360,6,11,12,1000,1,1,9,8,6,137,4640100,465200,710,2,1,2,0,4,0,0,107,0,0,1,0,0
200600072361,6,11,30,1830,2,2,1,1,6,137,4643700,465900,710,4,2,2,0,4,1,21,0,1,0,1,0,0
200600072364,6,11,26,1830,1,1,1,1,1,5,4684000,469100,710,3,2,2,0,3,1,0,0,1,0,1,0,0
200600072365,6,11,2,1640,1,1,1,7,6,221,4678200,472800,710,3,2,2,0,1,1,0,52,1,0,1,0,0
200600072367,6,11,21,1710,5,2,1,1,6,189,4676000,489800,710,3,2,2,0,1,1,0,66,2,6,1,0,0
200600072370,6,11,17,945,1,1,1,2,3,131,4689700,502400,710,3,2,2,0,2,3,0,74,2,0,1,0,0
200600072371,6,11,10,1815,5,2,1,1,3,106,4643800,427700,710,4,0,0,0,1,1,0,58,1,0,1,3,0
200600072372,6,11,15,800,1,1,1,1,7,394,4646300,442100,710,4,2,0,0,2,1,0,41,2,0,3,0,0
200600072373,6,11,24,1215,1,1,1,1,3,106,4644500,430400,710,3,2,2,0,0,1,0,65,2,0,1,0,0
200600072377,6,11,13,800,1,1,1,1,7,301,4661500,381000,710,3,2,2,0,2,3,0,68,1,0,1,0,0
200600072378,6,11,19,1745,3,1,1,2,6,220,4655400,374300,710,3,2,2,0,2,2,62,62,2,0,3,0,0
200600072383,6,11,15,1100,1,1,1,1,7,187,4675300,450100,710,2,3,2,0,1,1,0,0,1,0,1,0,0
200600072384,6,11,28,1800,5,1,6,1,2,310,4675300,449200,710,2,1,1,0,1,1,0,0,1,5,1,0,0
200600072385,6,11,6,745,1,1,2,5,3,438,4780800,366900,890,3,2,0,0,4,1,0,0,2,0,1,0,0
200600072388,6,11,29,800,1,2,1,1,3,13,4787300,352100,890,3,2,2,0,2,1,0,66,1,5,1,0,0
