unscathed,killed,hospital,light
1,0,2,0
3,0,0,1
1,0,1,0
1,0,1,0
1,1,0,0
1,0,2,0
0,0,1,0
1,0,1,1
2,0,0,2
0,1,0,0
0,0,1,1
0,0,1,0
1,0,1,0
1,0,1,0
0,0,1,0
1,0,0,1
1,0,1,0
0,0,1,0
1,0,1,2
0,2,1,0
0,1,0,0
0,1,1,0
1,0,1,0
2,0,0,1
0,0,2,0
1,0,0,1
5,0,1,0
2,0,0,1
1,0,1,0
1,0,1,0
1,0,0,2
1,0,0,2
0,0,1,0
1,0,1,0
0,0,0,1
0,0,1,0
0,0,1,2
1,1,1,1
0,0,0,2
1,0,0,1
0,0,2,2
0,0,1,0
0,0,1,0
0,0,2,0
1,0,0,1
0,0,1,1
2,0,1,0
1,0,1,0
1,0,1,0
1,1,0,0
0,0,1,0
0,0,0,3
1,0,1,0
0,0,1,0
0,0,1,0
1,0,1,0
0,0,1,0
1,0,2,0
1,0,0,1
0,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
2,0,0,1
1,0,0,2
0,0,1,0
1,0,0,1
1,0,0,1
3,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,1,0
1,0,0,1
1,0,1,0
1,0,1,0
1,0,0,1
0,0,0,2
1,0,0,1
2,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,1,0
1,0,1,0
1,0,0,1
1,0,0,1
2,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
0,0,0,1
1,0,0,1
1,0,0,1
0,0,0,1
0,0,1,0
1,0,0,1
2,0,0,2
0,0,0,1
0,0,0,3
0,0,0,2
1,0,0,1
3,0,0,1
1,0,1,0
2,0,0,2
1,0,0,1
1,0,1,0
0,0,1,0
1,0,1,0
1,0,1,0
0,0,2,0
2,0,0,1
2,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
3,0,0,1
0,0,0,1
1,0,1,0
1,0,0,1
0,0,0,3
1,0,4,2
1,0,0,1
1,0,1,0
0,0,1,2
4,0,1,0
1,0,0,1
0,0,0,6
1,0,1,0
1,0,1,0
1,0,1,0
1,0,0,1
1,0,0,1
0,1,1,1
1,0,1,0
0,0,1,1
1,0,0,2
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
0,0,0,3
1,0,0,1
1,0,0,1
1,0,0,1
0,1,0,0
0,0,0,2
1,0,0,1
1,0,0,2
1,0,0,1
1,1,0,0
1,0,1,0
0,0,1,1
