Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,lat,long,dep,catr,circ,nbv,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,killed
201600000226,16,5,26,1900,1,2,6,1,6,646,5026750,309935,620,3,2,2,0,1,1,0,0,0,5,1,99,0
201600000227,16,11,22,945,3,1,1,1,2,164,5019899,313344,620,3,2,2,0,1,1,0,0,2,0,1,99,0
201600000228,16,12,10,1845,3,1,1,9,1,582,5026210,288529,620,3,2,3,3,0,1,0,95,2,5,1,99,0
201600000229,16,7,1,900,1,1,1,1,1,865,5032498,299557,620,4,2,0,0,1,0,0,0,1,0,1,99,0
201600000230,16,7,26,1030,1,1,1,1,6,355,5033287,290832,620,3,3,0,0,1,1,0,0,1,0,1,99,0
201600000231,16,10,14,1700,1,1,6,1,3,173,5033668,300917,620,3,2,2,0,1,3,0,60,1,0,1,0,0
201600000232,16,11,14,445,3,1,1,8,2,865,5033372,296179,620,3,3,2,0,1,1,60,144,2,0,1,99,0
201600000233,16,11,28,745,2,2,1,1,2,865,5032858,297896,620,4,2,2,0,1,1,0,50,1,0,1,0,0
201600000234,16,3,3,830,1,1,1,1,6,564,5061251,240074,620,3,2,2,0,2,1,0,73,2,0,3,99,0
201600000235,16,4,10,515,2,2,1,1,1,391,5061652,249261,620,3,2,0,0,2,3,0,70,1,2,1,99,0
201600000236,16,5,8,1900,1,2,1,1,1,900,5061131,236971,620,4,2,2,0,0,1,0,42,1,0,1,0,0
201600000237,16,8,6,600,1,1,1,1,6,454,5055830,260694,620,3,2,2,0,1,1,0,80,1,0,1,99,0
201600000238,16,8,21,1215,1,2,1,2,1,313,5059551,231762,620,3,2,2,0,2,1,0,69,2,0,1,0,1
201600000239,16,3,7,1715,1,1,1,8,6,338,5063794,282823,620,3,2,2,0,1,3,0,60,2,0,3,99,1
201600000240,16,4,22,1815,1,1,1,1,4,491,5063200,277200,620,3,2,2,0,0,1,0,65,1,0,1,99,0
201600000241,16,8,12,2230,3,1,1,1,1,529,5056980,277945,620,3,2,2,0,1,1,0,70,1,0,1,0,1
201600000242,16,11,3,1800,2,1,1,1,2,706,5059500,276400,620,3,2,1,0,1,1,0,0,1,0,1,99,0
201600000243,16,11,21,800,2,1,1,1,6,338,5064200,281100,620,3,2,2,0,1,2,0,80,2,0,3,0,0
201600000244,16,12,6,745,2,2,1,1,6,736,5065619,278814,620,3,2,1,0,1,1,0,56,1,0,1,99,0
201600000245,16,3,13,1330,1,1,1,1,1,255,5068154,180471,620,3,2,2,0,1,2,0,0,1,0,1,0,0
201600000246,16,7,30,1200,1,2,1,1,3,273,5061798,183044,620,3,2,2,0,1,3,0,61,1,0,1,99,0
